chain_key,store_key,city,province,category,recipe,product_key,size,crust,price,date_key,month,year
DP,DP_10003,Whistler,BC,Pizza,Philly Steak,DP_14HTPHILCS,"14""",HANDTOSS,27.99,2025-11-15,November,2025
DP,DP_10003,Whistler,BC,Pizza,Philly Steak,DP_14HTTPHILC,"14""",HANDTOSSTHIN,27.99,2025-11-15,November,2025
DP,DP_10003,Whistler,BC,Pizza,Philly Steak,DP_16SCPHILCS,"16""",HANDTOSS,33.24,2025-11-15,November,2025
DP,DP_10003,Whistler,BC,Pizza,Philly Steak,DP_16HTTPHILC,"16""",HANDTOSSTHIN,33.24,2025-11-15,November,2025
DP,DP_10003,Whistler,BC,Pizza,Pacific Veggie,DP_10TPACVEG,"10""",THIN,19.99,2025-11-15,November,2025
DP,DP_10003,Whistler,BC,Pizza,Pacific Veggie,DP_10SCPACVEG,"10""",HANDTOSS,19.99,2025-11-15,November,2025
DP,DP_10003,Whistler,BC,Pizza,Pacific Veggie,DP_P10IGFPAV,"10""",GLUTENF,19.99,2025-11-15,November,2025
DP,DP_10003,Whistler,BC,Pizza,Pacific Veggie,DP_12TPACVEG,"12""",THIN,23.99,2025-11-15,November,2025
DP,DP_10003,Whistler,BC,Pizza,Pacific Veggie,DP_12SCPACVEG,"12""",HANDTOSS,23.99,2025-11-15,November,2025
DP,DP_10003,Whistler,BC,Pizza,Pacific Veggie,DP_12HTTPV,"12""",HANDTOSSTHIN,23.99,2025-11-15,November,2025
DP,DP_10003,Whistler,BC,Pizza,Pacific Veggie,DP_12SFFPV,"12""",STUFFED,23.99,2025-11-15,November,2025
DP,DP_10003,Whistler,BC,Pizza,Pacific Veggie,DP_P12PANPV,"12""",NPAN,23.99,2025-11-15,November,2025
DP,DP_10003,Whistler,BC,Pizza,Pacific Veggie,DP_14TPACVEG,"14""",THIN,27.99,2025-11-15,November,2025
DP,DP_10003,Whistler,BC,Pizza,Pacific Veggie,DP_14SCPACVEG,"14""",HANDTOSS,27.99,2025-11-15,November,2025
DP,DP_10003,Whistler,BC,Pizza,Pacific Veggie,DP_14HTTPV,"14""",HANDTOSSTHIN,27.99,2025-11-15,November,2025
DP,DP_10003,Whistler,BC,Pizza,Pacific Veggie,DP_16SCPACVEG,"16""",HANDTOSS,33.24,2025-11-15,November,2025
DP,DP_10003,Whistler,BC,Pizza,Pacific Veggie,DP_16HTTPV,"16""",HANDTOSSTHIN,33.24,2025-11-15,November,2025
DP,DP_10003,Whistler,BC,Pizza,Pepperoni Feast,DP_10TPFEAST,"10""",THIN,16.99,2025-11-15,November,2025
DP,DP_10003,Whistler,BC,Pizza,Pepperoni Feast,DP_10SCPFEAST,"10""",HANDTOSS,16.99,2025-11-15,November,2025
